game_name,sys_req,release_date,name,Ncomments,Ndiscomfort,Pdiscomfort,OS,Processor,Memory,Graphics,DirectX,Storage,Network,no fields,memory_num,OS_num,storage_num,graphics_simp,graphics_num,processor_simp,processor_num
Deus Ex: Mankind Divided,OS: Windows 10 64-bitProcessor: Intel Core i7-3770K or AMD FX 8350 WraithMemory: 16 GB RAMGraphics: AMD Radeon RX 480 - 1920 x 1080 or NVIDIA GTX 970 - 1920 x 1080Storage: 55 GB available spaceAdditional Notes: 55GB HD space includes DLC,23-Aug-16,deusexmankinddivided,304,3,0.009868421, Windows 10 64-bit, Intel Core i7-3770K or AMD FX 8350 Wraith, 16 GB RAM, AMD Radeon RX 480 - 1920 x 1080 or NVIDIA GTX 970 - 1920 x 1080,, 55 GB available spaceAdditional Notes: 55GB HD space includes DLC,,,16,6,55,GTX 970 ,49.1,I7-3770K,72.4
Batman™: Arkham Knight,"Requires a 64-bit processor and operating systemOS: Win 7 SP1, Win 8.1 (64-bit Operating System Required)Processor: Intel Core i7-3770, 3.4 GHz | AMD FX-8350, 4.0 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 760 - 3 GB Memory Recommended | AMD Radeon HD 7950 - 3 GB Memory RecommendedDirectX: Version 11Network: Broadband Internet connectionStorage: 55 GB available space",23-Jun-15,batmanarkhamknight,603,5,0.008291874," Win 7 SP1, Win 8.1 (64-bit Operating System Required)"," Intel Core i7-3770, 3.4 GHz | AMD FX-8350, 4.0 GHz", 8 GB RAM, NVIDIA GeForce GTX 760 - 3 GB Memory Recommended | AMD Radeon HD 7950 - 3 GB Memory Recommended, Version 11, 55 GB available space, Broadband Internet connection,,8,4,55,GTX 760 ,26,I7-3770,69
A Plague Tale: Requiem,"Requires a 64-bit processor and operating systemOS: Windows 10 (20H1 64 bits)Processor: Intel Core i7-8700K (3.7 GHz) / AMD Ryzen 5 3600 (3.6 GHz)Memory: 16 GB RAMGraphics: 8 GB, GeForce RTX 3070/Radeon RX 6800 XTDirectX: Version 12Storage: 55 GB available spaceAdditional Notes: 60 FPS, 1920x1080 in ultra. SSD storage is recommended.",17-Oct-22,aplaguetalerequiem,172,1,0.005813953, Windows 10 (20H1 64 bits), Intel Core i7-8700K (3.7 GHz) / AMD Ryzen 5 3600 (3.6 GHz), 16 GB RAM," 8 GB, GeForce RTX 3070/Radeon RX 6800 XT", Version 12," 55 GB available spaceAdditional Notes: 60 FPS, 1920x1080 in ultra. SSD storage is recommended.",,,16,6,55,RTX 3070,148,I7-8700K,88.4
STAR WARS Jedi: Fallen Order™,"Requires a 64-bit processor and operating systemOS: 64-bit Windows 7/8.1/10Processor: AMD Ryzen 7 1700/Intel  i7-6700K or EquivalentMemory: 16 GB RAMGraphics: AMD RX Vega 56, Nvidia GTX 1070/GTX1660Ti or EquivalentDirectX: Version 11Storage: 55 GB available space",14-Nov-19,starwarsjedifallenorder,716,4,0.005586592, 64-bit Windows 7/8.1/10, AMD Ryzen 7 1700/Intel  i7-6700K or Equivalent, 16 GB RAM," AMD RX Vega 56, Nvidia GTX 1070/GTX1660Ti or Equivalent", Version 11, 55 GB available space,,,16,6,55,GTX 1070,79.7,I7-6700K,80.8
The Medium,"Requires a 64-bit processor and operating systemOS: Windows 10 (64bit version only)Processor: Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700XMemory: 16 GB RAMGraphics: @1080p NVIDIA GeForce® GTX 1660 Super / Radeon™ RX 5600XT | @4K NVIDIA GeForce® RTX 2080 or RTX 3060 Ti / Radeon™ RX 6800DirectX: Version 12Storage: 55 GB available spaceSound Card: DirectX compatible, headphones recommended",21-Jan,themedium,306,0,0, Windows 10 (64bit version only), Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X, 16 GB RAM, @1080p NVIDIA GeForce® GTX 1660 Super / Radeon™ RX 5600XT | @4K NVIDIA GeForce® RTX 2080 or RTX 3060 Ti / Radeon™ RX 6800, Version 12," 55 GB available spaceSound Card: DirectX compatible, headphones recommended",,,16,6,55,GTX 1660 ,68.3,I5-9600,92.3
Detroit: Become Human,Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: Intel Core i5-6600 @ 3.3 GHz or AMD Ryzen 3 1300 X @ 3.4 GHzMemory: 12 GB RAMGraphics: Nvidia GeForce GTX 1060 or AMD Radeon RX 580 with 4GB VRAM minimum (Support of Vulkan 1.1 required)Storage: 55 GB available space,18-Jun-20,detroitbecomehuman,286,0,0, Windows 10 (64 bit), Intel Core i5-6600 @ 3.3 GHz or AMD Ryzen 3 1300 X @ 3.4 GHz, 12 GB RAM, Nvidia GeForce GTX 1060 or AMD Radeon RX 580 with 4GB VRAM minimum (Support of Vulkan 1.1 required),, 55 GB available space,,,12,6,55,GTX 1060 ,56.1,I5-6600,67.6
The Bard's Tale IV: Barrows Deep,Requires a 64-bit processor and operating systemOS: Windows 7/8/8.1/10 (64 bit)Processor: Intel i5-4590 equivalent or greaterMemory: 8 GB RAMGraphics: NVIDIA GTX 970/AMD 290 equivalent or greaterStorage: 55 GB available space,18-Sep-18,thebardstaleivbarrowsdeep,39,0,0, Windows 7/8/8.1/10 (64 bit), Intel i5-4590 equivalent or greater, 8 GB RAM, NVIDIA GTX 970/AMD 290 equivalent or greater,, 55 GB available space,,,8,6,55,GTX 970,49.1,I5-4590,63.5
Just Cause™ 3,"OS: Vista SP2 / Windows 7.1 SP1 / Windows 8.1 (64-bit Operating System Required)Processor: Intel Core i7-3770, 3.4 GHz / AMD FX-8350, 4.0 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 780 (3GB) / AMD R9 290 (4GB)Storage: 54 GB available space",30-Nov-15,justcause3,198,3,0.015151515, Vista SP2 / Windows 7.1 SP1 / Windows 8.1 (64-bit Operating System Required)," Intel Core i7-3770, 3.4 GHz / AMD FX-8350, 4.0 GHz", 8 GB RAM, NVIDIA GeForce GTX 780 (3GB) / AMD R9 290 (4GB),, 54 GB available space,,,8,4,54,GTX 780 ,44.9,I7-3770,69
Monster Hunter: World,"Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F / AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 / AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p/30fps with graphics settings at ""High"". - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.",9-Aug-18,monsterhunterworld,212,2,0.009433962," WINDOWS® 7, 8, 8.1, 10 (64-bit required)", Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F / AMD Ryzen™ 5 1500X or Ryzen™ 5 3400G, 8 GB RAM, NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 / AMD Radeon™ RX 480 or RX 570, Version 11," 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p/30fps with graphics settings at ""High"". - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.", Broadband Internet connection,,8,6,52,GTX 1060 ,56.1,I7-3770,69
The Sims™ 4,"Requires a 64-bit processor and operating systemOS: 64 Bit Windows 10Processor: Intel core i5 (4 cores), AMD Ryzen 5 or betterMemory: 8 GB RAMGraphics: 1 GB of Video RAM, NVIDIA GTX 650, AMD Radeon HD 7750, or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 51 GB available space",2-Sep-14,thesims4,980,11,0.01122449, 64 Bit Windows 10," Intel core i5 (4 cores), AMD Ryzen 5 or better", 8 GB RAM," 1 GB of Video RAM, NVIDIA GTX 650, AMD Radeon HD 7750, or better", Version 11, 51 GB available space, Broadband Internet connection,,8,6,51,GTX 650,8.18,,45.5
SpellForce 3: Soul Harvest,"OS: Windows 7, 8, Windows 10 (64 bit)Processor: Intel Core i7-4790, AMD FX-8350Memory: 8 GB RAMGraphics: NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GBDirectX: Version 11Storage: 51 GB available spaceSound Card: DirectX compatible Sound card",28-May-19,spellforce3soulharvest,20,0,0," Windows 7, 8, Windows 10 (64 bit)"," Intel Core i7-4790, AMD FX-8350", 8 GB RAM," NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB", Version 11, 51 GB available spaceSound Card: DirectX compatible Sound card,,,8,6,51,GTX 970 ,49.1,I7-4790,71.4
Dead Rising 4,Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel i7-3770 or AMD FX 8350Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 970 (4 GB) or AMD Radeon R9 290 (4 GB)DirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available spaceSound Card: DX11-compatible sound cardAdditional Notes: Not compatible with AMD CPUs that do not support SSE 4.1 multi-threading.,14-Mar-17,deadrising4,26,1,0.038461538, Windows 10 64-bit, Intel i7-3770 or AMD FX 8350, 8 GB RAM, NVIDIA GeForce GTX 970 (4 GB) or AMD Radeon R9 290 (4 GB), Version 11, 50 GB available spaceSound Card: DX11-compatible sound cardAdditional Notes: Not compatible with AMD CPUs that do not support SSE 4.1 multi-threading., Broadband Internet connection,,8,6,50,GTX 970 ,49.1,I7-3770,69
The Evil Within,"OS: 64-bit Windows 7 SP1/Windows 8.1Processor: i7 with four plus coresMemory: 4 GB RAMGraphics: GeForce GTX 670 or equivalent with 4GBs of VRAMDirectX: Version 11Storage: 50 GB available spaceAdditional Notes: It’s worth noting that the 50 GB of space required is for the PC install. When the installation is complete, the game will take up ~41 GB of HDD space",13-Oct-14,theevilwithin,326,7,0.021472393, 64-bit Windows 7 SP1/Windows 8.1, i7 with four plus cores, 4 GB RAM, GeForce GTX 670 or equivalent with 4GBs of VRAM, Version 11," 50 GB available spaceAdditional Notes: It’s worth noting that the 50 GB of space required is for the PC install. When the installation is complete, the game will take up ~41 GB of HDD space",,,4,4,50,GTX 670 ,27.7,,27.7
Battleborn,"OS: Windows® 7 x64-bit or LaterProcessor: Intel i5-750 / AMD Phenom IIx4 945Memory: 6 GB RAMGraphics: AMD HD 7850/ NVIDIA GeForce GTX 660 or better, PhysX supportDirectX: Version 11Storage: 50 GB available space",3-May-16,battleborn,121,2,0.016528926, Windows® 7 x64-bit or Later, Intel i5-750 / AMD Phenom IIx4 945, 6 GB RAM," AMD HD 7850/ NVIDIA GeForce GTX 660 or better, PhysX support", Version 11, 50 GB available space,,,6,3,50,GTX 660 ,19.9,I5-750,61.5
RAGE 2,"OS: Win7, 8.1, or 10 (64-Bit versions)Processor: Intel Core i7-4770 or AMD Ryzen 5 1600XMemory: 8 GB RAMGraphics: Nvidia GTX 1070 8GB or AMD Vega 56 8GBStorage: 50 GB available space",14-May-19,rage2,249,4,0.016064257," Win7, 8.1, or 10 (64-Bit versions)", Intel Core i7-4770 or AMD Ryzen 5 1600X, 8 GB RAM, Nvidia GTX 1070 8GB or AMD Vega 56 8GB,, 50 GB available space,,,8,6,50,GTX 1070 ,79.7,I7-4770,70.5
Dungeons & Dragons: Dark Alliance,Processor: 3.6GHz AMD Ryzen 5 3600 / Intel Core i5-9600K @ 3.7GHzMemory: 16 GB RAMGraphics: AMD RX Vega 56 / NVIDIA GTX 1660 tiStorage: 50 GB available space,21-Jun-21,dungeonsdragonsdarkalliance,84,1,0.011904762,, 3.6GHz AMD Ryzen 5 3600 / Intel Core i5-9600K @ 3.7GHz, 16 GB RAM, AMD RX Vega 56 / NVIDIA GTX 1660 ti,, 50 GB available space,,,16,1,50,GTX 1660 TI,76,I5-9600K,93.2
High On Life,Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel(R) Core(TM) i5-6402p CPU @ 2.80GHz (4 CPUs) / AMD Ryzen 5 2600 (3.4 GHz)Memory: 8 GB RAMGraphics: NVIDIA GeForce RTX 2060 (6GB)/AMD RX 5600 XT (6GB)DirectX: Version 12Storage: 50 GB available space,13-Dec-22,highonlife,282,3,0.010638298, Windows 10 64-bit, Intel(R) Core(TM) i5-6402p CPU @ 2.80GHz (4 CPUs) / AMD Ryzen 5 2600 (3.4 GHz), 8 GB RAM, NVIDIA GeForce RTX 2060 (6GB)/AMD RX 5600 XT (6GB), Version 12, 50 GB available space,,,8,6,50,RTX 2060 ,89.8,,27.7
Dead by Daylight,Requires a 64-bit processor and operating systemOS: Windows 10 64-bit Operating SystemProcessor: Intel Core i3-4170 or AMD FX-8300 or higherMemory: 8 GB RAMGraphics: DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAMDirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available spaceSound Card: DX11 compatible,14-Jun-16,deadbydaylight,293,3,0.010238908, Windows 10 64-bit Operating System, Intel Core i3-4170 or AMD FX-8300 or higher, 8 GB RAM, DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM, Version 11, 50 GB available spaceSound Card: DX11 compatible, Broadband Internet connection,,8,6,50,GEFORCE 760 ,10.7,I3-4170,56.9
Mafia II: Definitive Edition,Requires a 64-bit processor and operating systemOS: Windows 8.1 64-bitProcessor: Intel i7-3770 or AMD FX 8350Memory: 8 GB RAMGraphics: 4GB NVIDIA GeForce GTX 780 or 4GB AMD Radeon R9 290XStorage: 50 GB available spaceSound Card: DirectX Compatible,19-May-20,mafiaiidefinitiveedition,116,1,0.00862069, Windows 8.1 64-bit, Intel i7-3770 or AMD FX 8350, 8 GB RAM, 4GB NVIDIA GeForce GTX 780 or 4GB AMD Radeon R9 290X,, 50 GB available spaceSound Card: DirectX Compatible,,,8,4,50,GTX 780 ,44.9,I7-3770,69
Need for Speed™ Unbound,"Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Ryzen 5 3600, Core i7-8700Memory: 16 GB RAMGraphics: Radeon RX5700 (8GB), GeForce RTX 2070 (8GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 50 GB available space",1-Dec-22,needforspeedunbound,126,1,0.007936508, Windows 10 64-bit," Ryzen 5 3600, Core i7-8700", 16 GB RAM," Radeon RX5700 (8GB), GeForce RTX 2070 (8GB)", Version 12, 50 GB available space, Broadband Internet connection,,16,6,50,RTX 2070 ,104,I7-8700,87
Assassin's Creed® Unity,"OS: Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)Processor: Intel Core i7-3770 @ 3.4 GHz or AMD FX-8350 @ 4.0 GHz or betterMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 780 or AMD Radeon R9 290X (3 GB VRAM)Storage: 50 GB available spaceSound Card: DirectX 9.0c compatible sound card with latest driversAdditional Notes: Supported video cards at the time of release: NVIDIA GeForce GTX 680 or better, GeForce GTX 700 series; AMD Radeon HD7970 or better, Radeon R9 200 series Note: Laptop versions of these cards may work but are NOT officially supported.",11-Nov-14,assassinscreedunity,693,5,0.007215007," Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)", Intel Core i7-3770 @ 3.4 GHz or AMD FX-8350 @ 4.0 GHz or better, 8 GB RAM, NVIDIA GeForce GTX 780 or AMD Radeon R9 290X (3 GB VRAM),," 50 GB available spaceSound Card: DirectX 9.0c compatible sound card with latest driversAdditional Notes: Supported video cards at the time of release: NVIDIA GeForce GTX 680 or better, GeForce GTX 700 series; AMD Radeon HD7970 or better, Radeon R9 200 series Note: Laptop versions of these cards may work but are NOT officially supported.",,,8,4,50,GTX 780 ,44.9,I7-3770,69
The Witcher® 3: Wild Hunt,OS: 64-bit Windows 10/11Processor: Intel Core i5-7400 / Ryzen 5 1600Memory: 8 GB RAMGraphics: Nvidia GTX 1070 / Radeon RX 480DirectX: Version 12Storage: 50 GB available space,18-May-15,thewitcher3wildhunt,2923,19,0.006500171, 64-bit Windows 10/11, Intel Core i5-7400 / Ryzen 5 1600, 8 GB RAM, Nvidia GTX 1070 / Radeon RX 480, Version 12, 50 GB available space,,,8,7,50,GTX 1070 ,79.7,I5-7400,63.5
World War Z,Requires a 64-bit processor and operating systemOS: Windows 10Processor: AMD Ryzen 5 2400G / Intel core i7-3970Memory: 16 GB RAMGraphics: AMD Radeon R9 280 / Nvidia GeForce GTX 960DirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available spaceSound Card: Yes,21-Sep-21,worldwarz,165,1,0.006060606, Windows 10, AMD Ryzen 5 2400G / Intel core i7-3970, 16 GB RAM, AMD Radeon R9 280 / Nvidia GeForce GTX 960, Version 11, 50 GB available spaceSound Card: Yes, Broadband Internet connection,,16,5,50,GTX 960,32.9,I7-3970,77.9
NieR:Automata™,"OS: Windows 8.1 /10 64bitProcessor: Intel Core i5 4670 or AMD A10-7850KMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 980 VRAM 4GB or AMD Radeon R9 380X VRAM 4GBDirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available spaceSound Card: DirectX® 11 supportedAdditional Notes: Mouse, keyboard and game pad (XInput only). Screen resolution: 1920x1080. Depending on the monitor and PC graphics card environment and setup used, this title can expand its display resolution to 4K. However, please be aware that 4K resolutions are not officially supported. This product only supports MS-IME keyboard input. There is a possibility that other IME will not function correctly with it.",17-Mar-17,nierautomata,338,2,0.00591716, Windows 8.1 /10 64bit, Intel Core i5 4670 or AMD A10-7850K, 8 GB RAM, NVIDIA GeForce GTX 980 VRAM 4GB or AMD Radeon R9 380X VRAM 4GB, Version 11," 50 GB available spaceSound Card: DirectX® 11 supportedAdditional Notes: Mouse, keyboard and game pad (XInput only). Screen resolution: 1920x1080. Depending on the monitor and PC graphics card environment and setup used, this title can expand its display resolution to 4K. However, please be aware that 4K resolutions are not officially supported. This product only supports MS-IME keyboard input. There is a possibility that other IME will not function correctly with it.", Broadband Internet connection,,8,6,50,GTX 980 ,59.3,I5-4670,66.5
New World,"Requires a 64-bit processor and operating systemOS: Windows® 10 64-bitProcessor: Intel® Core™ i7-2600K / AMD Ryzen 5 1400Memory: 16 GB RAMGraphics: NVIDIA® GeForce® GTX 970 / AMD Radeon R9 390X or betterDirectX: Version 12Network: Broadband Internet connectionStorage: 50 GB available spaceAdditional Notes: Internet connection required to play, offers in-game purchases",28-Sep-21,newworld,345,2,0.005797101, Windows® 10 64-bit, Intel® Core™ i7-2600K / AMD Ryzen 5 1400, 16 GB RAM, NVIDIA® GeForce® GTX 970 / AMD Radeon R9 390X or better, Version 12," 50 GB available spaceAdditional Notes: Internet connection required to play, offers in-game purchases", Broadband Internet connection,,16,6,50,GTX 970 ,49.1,I7-2600K,70.6
Battlefield™ 1,Requires a 64-bit processor and operating systemOS: 64-bit Windows 10 or laterProcessor: Processor (AMD): AMD FX 8350 Wraith Processor (Intel): Intel Core i7 4790 or equivalentMemory: 16 GB RAMGraphics: Graphics card (AMD): AMD Radeon™ RX 480 4GB Graphics card (NVIDIA): NVIDIA GeForce® GTX 1060 3GBDirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available space,20-Oct-16,battlefield1,583,3,0.005145798, 64-bit Windows 10 or later, Processor (AMD): AMD FX 8350 Wraith Processor (Intel): Intel Core i7 4790 or equivalent, 16 GB RAM, Graphics card (AMD): AMD Radeon™ RX 480 4GB Graphics card (NVIDIA): NVIDIA GeForce® GTX 1060 3GB, Version 11, 50 GB available space, Broadband Internet connection,,16,6,50,GTX 1060 ,56.1,I7-4790,71.4
A Plague Tale: Innocence,"Requires a 64-bit processor and operating systemOS: Windows 7/8/10 (64 bits)Processor: Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz)Memory: 16 GB RAMGraphics: 4 GB, GeForce GTX 970/Radeon RX 480Storage: 50 GB available space",14-May-19,aplaguetaleinnocence,402,2,0.004975124, Windows 7/8/10 (64 bits), Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz), 16 GB RAM," 4 GB, GeForce GTX 970/Radeon RX 480",, 50 GB available space,,,16,6,50,GTX 970,49.1,I5-4690,67.1
Tom Clancy's Ghost Recon® Wildlands,"OS: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: Intel Core i7- 3770@ 3.5 GHz or AMD FX-8350 @ 4 GHz or betterMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX970/GTX 1060 or AMD R9 390/RX480 (4GB VRAM with Shader Model 5.0 or better)Storage: 50 GB available spaceSound Card: DirectX-compatible using the latest driversAdditional Notes: Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology and Denuvo (https://www.denuvo.com/) anti-tamper technology.",6-Mar-17,tomclancysghostreconwildlands,231,1,0.004329004," Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS", Intel Core i7- 3770@ 3.5 GHz or AMD FX-8350 @ 4 GHz or better, 8 GB RAM, NVIDIA GeForce GTX970/GTX 1060 or AMD R9 390/RX480 (4GB VRAM with Shader Model 5.0 or better),, 50 GB available spaceSound Card: DirectX-compatible using the latest driversAdditional Notes: Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology and Denuvo (https://www.denuvo.com/) anti-tamper technology.,,,8,6,50,GTX 1060 ,56.1,I7-3770,69
Mafia: Definitive Edition,Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel Core-i7 3770 3.4GHz / AMD FX-8350 4.2GHzMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1080 / AMD Radeon RX 5700DirectX: Version 11Storage: 50 GB available spaceSound Card: DirectX Compatible,24-Sep-20,mafiadefinitiveedition,510,2,0.003921569, Windows 10 64-bit, Intel Core-i7 3770 3.4GHz / AMD FX-8350 4.2GHz, 16 GB RAM, NVIDIA GeForce GTX 1080 / AMD Radeon RX 5700, Version 11, 50 GB available spaceSound Card: DirectX Compatible,,,16,6,50,GTX 1080 ,102,I7-3770,69
Battlefield™ V,Requires a 64-bit processor and operating systemOS: 64-bit Windows 10 or laterProcessor: AMD Ryzen 3 1300X/Intel Core i7 4790Memory: 12 GB RAMGraphics: NVIDIA GeForce® GTX 1060 6GB/AMD Radeon™ RX 580 8GBDirectX: Version 11Storage: 50 GB available space,9-Nov-18,battlefieldv,1034,4,0.003868472, 64-bit Windows 10 or later, AMD Ryzen 3 1300X/Intel Core i7 4790, 12 GB RAM, NVIDIA GeForce® GTX 1060 6GB/AMD Radeon™ RX 580 8GB, Version 11, 50 GB available space,,,12,6,50,GTX 1060 ,56.1,I7-4790,71.4
Lost Ark,"Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit only)Processor: Intel i5 or AMD Ryzen 5Memory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1050DirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available spaceAdditional Notes: Internet connection required to play, offers in-game purchases",11-Feb-22,lostark,281,1,0.003558719, Windows 10 (64-bit only), Intel i5 or AMD Ryzen 5, 16 GB RAM, NVIDIA GeForce GTX 1050, Version 11," 50 GB available spaceAdditional Notes: Internet connection required to play, offers in-game purchases", Broadband Internet connection,,16,6,50,GTX 1050,25.7,,27.7
Halo Infinite,Requires a 64-bit processor and operating systemOS: Windows 10 19H2 x64Processor: AMD Ryzen 7 3700X or Intel i7-9700kMemory: 16 GB RAMGraphics: Radeon RX 5700 XT or Nvidia RTX 2070DirectX: Version 12Storage: 50 GB available space,15-Nov-21,haloinfinite,489,1,0.00204499, Windows 10 19H2 x64, AMD Ryzen 7 3700X or Intel i7-9700k, 16 GB RAM, Radeon RX 5700 XT or Nvidia RTX 2070, Version 12, 50 GB available space,,,16,5,50,RTX 2070,104,I7-9700K,96.9
The Quarry,Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: AMD Ryzen 7-3800XT \ Intel i9-10900KMemory: 16 GB RAMGraphics: Nvidia RTX 2060 / Radeon RX 5700Storage: 50 GB available space,9-Jun-22,thequarry,117,0,0, Windows 10 64-bit, AMD Ryzen 7-3800XT \ Intel i9-10900K, 16 GB RAM, Nvidia RTX 2060 / Radeon RX 5700,, 50 GB available space,,,16,6,50,RTX 2060 ,89.8,I9-10900K,99.6
Dead Space,"Requires a 64-bit processor and operating systemOS: Window 10 64-bit +Processor: Ryzen 5 5600X,Core i5 11600KMemory: 16 GB RAMGraphics: Radeon RX 6700 XT, Geforce RTX 2070DirectX: Version 12Network: Broadband Internet connectionStorage: 50 GB available spaceAdditional Notes: 50GB SSD PCIe compatible",27-Jan-23,deadspace,72,0,0, Window 10 64-bit +," Ryzen 5 5600X,Core i5 11600K", 16 GB RAM," Radeon RX 6700 XT, Geforce RTX 2070", Version 12, 50 GB available spaceAdditional Notes: 50GB SSD PCIe compatible, Broadband Internet connection,,16,6,50,RTX 2070,104,I5-11600K,99.2
"Warhammer 40,000: Darktide",Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit) / Windows 11 (64 bit)Processor: Intel i7-9700K (3.70GHz) OR AMD Ryzen 5 3600 (4.2GHz)Memory: 16 GB RAMGraphics: NVIDIA GeForce RTX 3060 / RTX 2060 OR AMD Radeon RX 5700 XTDirectX: Version 12Network: Broadband Internet connectionStorage: 50 GB available spaceAdditional Notes: An SSD storage device is highly recommended,30-Nov-22,warhammer40000darktide,69,0,0, Windows 10 (64 bit) / Windows 11 (64 bit), Intel i7-9700K (3.70GHz) OR AMD Ryzen 5 3600 (4.2GHz), 16 GB RAM, NVIDIA GeForce RTX 3060 / RTX 2060 OR AMD Radeon RX 5700 XT, Version 12, 50 GB available spaceAdditional Notes: An SSD storage device is highly recommended, Broadband Internet connection,,16,7,50,RTX 3060 ,100,I7-9700K,96.9
GRID Legends,"Requires a 64-bit processor and operating systemOS: 64-bit Windows 10/11Processor: Intel i5 8600k, AMD Ryzen 5 2600xMemory: 16 GB RAMGraphics: Nvidia GTX 1080, AMD RX590DirectX: Version 12Network: Broadband Internet connectionStorage: 50 GB available spaceSound Card: DirectX Compatible Soundcard",24-Feb-22,gridlegends,30,0,0, 64-bit Windows 10/11," Intel i5 8600k, AMD Ryzen 5 2600x", 16 GB RAM," Nvidia GTX 1080, AMD RX590", Version 12, 50 GB available spaceSound Card: DirectX Compatible Soundcard, Broadband Internet connection,,16,7,50,GTX 1080,102,I5-8600K,90.7
Assetto Corsa Competizione,"Requires a 64-bit processor and operating systemOS: Windows 10 x64 - 21H2Processor: Intel Core i5-8600K or AMD Ryzen 5 2600XMemory: 16 GB RAMGraphics: GeForce GTX 1070 8 GB, Radeon RX 580 8GBDirectX: Version 11Storage: 50 GB available spaceSound Card: Integrated",29-May-19,assettocorsacompetizione,35,0,0, Windows 10 x64 - 21H2, Intel Core i5-8600K or AMD Ryzen 5 2600X, 16 GB RAM," GeForce GTX 1070 8 GB, Radeon RX 580 8GB", Version 11, 50 GB available spaceSound Card: Integrated,,,16,5,50,GTX 1070 ,79.7,I5-8600K,90.7
Necromunda: Hired Gun,"Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit)Processor: AMD Ryzen 5 2600 / Intel Core i5-8600KMemory: 16 GB RAMGraphics: 6 GB VRAM, Radeon RX 5600 / GeForce GTX 1660DirectX: Version 12Storage: 50 GB available spaceAdditional Notes: 60 FPS, 1920x1080 in epic.",31-May-21,necromundahiredgun,26,0,0, Windows 10 (64-bit), AMD Ryzen 5 2600 / Intel Core i5-8600K, 16 GB RAM," 6 GB VRAM, Radeon RX 5600 / GeForce GTX 1660", Version 12," 50 GB available spaceAdditional Notes: 60 FPS, 1920x1080 in epic.",,,16,6,50,GTX 1660,68.3,I5-8600K,90.7
