game_name,sys_req,release_date,name,Ncomments,Ndiscomfort,Pdiscomfort,OS,Processor,Memory,Graphics,DirectX,Storage,Network,no fields,memory_num,OS_num,storage_num,graphics_simp,graphics_num,processor_simp,processor_num
DARK SOULS™: REMASTERED,"Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel Core i5-4570 3.2 GHz / AMD FX-8350 4.2 GHzMemory: 8 GB RAMGraphics: GeForce GTX 660, 2 GB / Radeon HD 7870, 2 GBDirectX: Version 11Storage: 8 GB available spaceSound Card: DirectX 11 sound deviceAdditional Notes: High Settings, 60 FPS @ 1080p",23-May-18,darksoulsremastered,190,0,0, Windows 10 64-bit, Intel Core i5-4570 3.2 GHz / AMD FX-8350 4.2 GHz, 8 GB RAM," GeForce GTX 660, 2 GB / Radeon HD 7870, 2 GB", Version 11," 8 GB available spaceSound Card: DirectX 11 sound deviceAdditional Notes: High Settings, 60 FPS @ 1080p",,,8,6,8,GTX 660,19.9,I5-4570,62.4
Trials Fusion™,"OS: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: Intel Core i5 2400s @ 2.5 GHz or AMD Phenom II X4 955 @ 3.2 GHzMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 560 Ti or better / AMD Radeon HD7850 or betterDirectX: Version 11Storage: 8 GB available spaceSound Card: DirectX 10.1 Compatible Sound CardAdditional Notes: DirectX 10.1 or higher required",24-Apr-14,trialsfusion,27,0,0," Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS", Intel Core i5 2400s @ 2.5 GHz or AMD Phenom II X4 955 @ 3.2 GHz, 4 GB RAM, NVIDIA GeForce GTX 560 Ti or better / AMD Radeon HD7850 or better, Version 11, 8 GB available spaceSound Card: DirectX 10.1 Compatible Sound CardAdditional Notes: DirectX 10.1 or higher required,,,4,6,8,GTX 560 TI,16.3,I5-2400S,60.4
LEGO® Marvel™ Super Heroes,OS: Windows XP/Vista/7/8Processor: AMD or Intel Quad Core running at 4*2600 MhzMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 8 GB available space,22-Oct-13,legomarvelsuperheroes,35,0,0, Windows XP/Vista/7/8, AMD or Intel Quad Core running at 4*2600 Mhz, 4 GB RAM, NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better, Version 11, 8 GB available space, Broadband Internet connection,,4,3,8,GTX 480 ,19.6,QUAD,45.5
Resident Evil Revelations,"OS:Windows® 8.1 / Windows®10 Processor:Intel® Core™ 2 Quad 2.7 Ghz or better, AMD Phenom™ II X4 3 Ghz or better Memory:4 GB RAM Graphics:NVIDIA® GeForce® GTX 560 or better, ATI Radeon™ HD6950 or better DirectX®:9.0c Hard Drive:8 GB HD space Sound:DirectSound supported with DirectX9.0c or better Other Requirements:Broadband Internet connection",20-May-13,residentevilrevelations,95,0,0,Windows® 8.1 / Windows®10 ,"Intel® Core™ 2 Quad 2.7 Ghz or better, AMD Phenom™ II X4 3 Ghz or better ",4 GB RAM ,"NVIDIA® GeForce® GTX 560 or better, ATI Radeon™ HD6950 or better DirectX®:9.0c Hard Drive:8 GB HD space Sound:DirectSound supported with DirectX9.0c or better Other Requirements:Broadband Internet connection",,,,,4,5,8,GTX 560 ,13.8,QUAD,45.5
Night in the Woods,OS: Windows 7Processor: Intel i5 Quad-CoreMemory: 4 GB RAMGraphics: Intel HD 4000Storage: 8 GB available spaceAdditional Notes: 32-bit systems must use virtual memory to get over 2GB.,21-Feb-17,nightinthewoods,105,0,0, Windows 7, Intel i5 Quad-Core, 4 GB RAM, Intel HD 4000,, 8 GB available spaceAdditional Notes: 32-bit systems must use virtual memory to get over 2GB.,,,4,2,8,,2,QUAD,45.5
Blacklight: Retribution,OS:Windows 10 (64-bit) Processor:Quad-Core CPU Memory:4 GB RAM Graphics:1GB+ DX11 GPU DirectX®:9.0c Hard Drive:8 GB HD space Sound:DirectX 9.0c compatible sound card Other Requirements:Broadband Internet connection,2-Jul-12,blacklightretribution,137,0,0,Windows 10 (64-bit) ,Quad-Core CPU ,4 GB RAM ,1GB+ DX11 GPU DirectX®:9.0c Hard Drive:8 GB HD space Sound:DirectX 9.0c compatible sound card Other Requirements:Broadband Internet connection,,,,,4,6,8,,2,QUAD,45.5
Styx: Master of Shadows,OS: WINDOWS VISTA SP2/WINDOWS 7/WINDOWS 8Processor: AMD/INTEL DUAL-CORE 2.4 GHZMemory: 3072 MB RAMGraphics: 1024 MB 100% DIRECTX 9 AND SHADERS 4.0 COMPATIBLE AMD RADEON HD 5850/NVIDIA GEFORCE GTX 560 OR HIGHERStorage: 8 GB available spaceSound Card: DIRECTX 9 COMPATIBLEAdditional Notes: INTERNET CONNECTION REQUIRED FOR THE GAME ACTIVATION,7-Oct-14,styxmasterofshadows,70,0,0, WINDOWS VISTA SP2/WINDOWS 7/WINDOWS 8, AMD/INTEL DUAL-CORE 2.4 GHZ, 3072 MB RAM, 1024 MB 100% DIRECTX 9 AND SHADERS 4.0 COMPATIBLE AMD RADEON HD 5850/NVIDIA GEFORCE GTX 560 OR HIGHER,, 8 GB available spaceSound Card: DIRECTX 9 COMPATIBLEAdditional Notes: INTERNET CONNECTION REQUIRED FOR THE GAME ACTIVATION,,,3,3,8,GTX 560 ,13.8,DUAL,36.6
Cities XXL,"OS: WINDOWS VISTA/WINDOWS 7/WINDOWS 8Processor: AMD/INTEL DUAL-CORE 2.5 GHZMemory: 3072 MB RAMGraphics: 768 MB 100% DIRECTX 10 AND SHADERS 4.0 COMPATIBLE ATI RADEON HD 5670/NVIDIA GEFORCE GTX 260 OR HIGHERStorage: 8 GB available spaceSound Card: DIRECTX COMPATIBLEAdditional Notes: INTERNET CONNECTION REQUIRED FOR THE GAME ACTIVATION, WINDOWS XP NON SUPPORTED",5-Feb-15,citiesxxl,55,0,0, WINDOWS VISTA/WINDOWS 7/WINDOWS 8, AMD/INTEL DUAL-CORE 2.5 GHZ, 3072 MB RAM, 768 MB 100% DIRECTX 10 AND SHADERS 4.0 COMPATIBLE ATI RADEON HD 5670/NVIDIA GEFORCE GTX 260 OR HIGHER,," 8 GB available spaceSound Card: DIRECTX COMPATIBLEAdditional Notes: INTERNET CONNECTION REQUIRED FOR THE GAME ACTIVATION, WINDOWS XP NON SUPPORTED",,,3,3,8,GTX 260 ,7.31,DUAL,36.6
Assassin's Creed™: Director's Cut Edition,"Supported OS: Windows® XP/Windows Vista® (only)Processor: Dual core processor 2.6 GHz Intel® Pentium® D or AMD Athlon™ 64 X2 3800+ (Intel Core® 2 Duo 2.2 GHz or AMD Athlon 64 X2 4400+ or better recommended)System Memory: Windows XP: 1 GB RAM / Windows Vista: 2 GB RAMVideo Card: 256 MB DirectX® 10.0-compliant video card or DirectX 9.0-compliant card with Shader Model 3.0 or higher (*see supported list)Sound Card: DirectX 9.0 or 10.0-compliant sound card (5.1 sound card recommended)DirectX Version: Direct X 9.0 (Windows XP) or 10.0 (Windows Vista) librariesHard Disk: 8 GB available hard disk spaceSupported Peripherals: Keyboard, mouse, optional controller (Xbox 360® Controller for Windows recommended)*Supported video cards at time of release: ATI® RADEON® X1600** /1650**- 1950/  HD 2000/3000 series, NVIDIA GeForce® 6800**/7/8/9 series.  **PCI Express only supported. Laptop versions of these cards may work but are NOT supported. These chipsets are the only ones that will run this game. For the most up-to-date requirements, please visit the FAQ for this game at: http://support.ubi.com.",9-Apr-08,assassinscreeddirectorscutedition,292,0,0, Windows® XP/Windows Vista® (only), Dual core processor 2.6 GHz Intel® Pentium® D or AMD Athlon™ 64 X2 3800+ (Intel Core® 2 Duo 2.2 GHz or AMD Athlon 64 X2 4400+ or better recommended)System ," Windows XP: 1 GB RAM / Windows Vista: 2 GB RAMVideo Card: 256 MB DirectX® 10.0-compliant video card or DirectX 9.0-compliant card with Shader Model 3.0 or higher (*see supported list)Sound Card: DirectX 9.0 or 10.0-compliant sound card (5.1 sound card recommended)DirectX Version: Direct X 9.0 (Windows XP) or 10.0 (Windows Vista) librariesHard Disk: 8 GB available hard disk spaceSupported Peripherals: Keyboard, mouse, optional controller (Xbox 360® Controller for Windows recommended)*Supported video cards at time of release: ATI® RADEON® X1600** /1650**- 1950/  HD 2000/3000 series, NVIDIA GeForce® 6800**/7/8/9 series.  **PCI Express only supported. Laptop versions of these cards may work but are NOT supported. These chipsets are the only ones that will run this game. For the most up-to-date requirements, please visit the FAQ for this game at: http://support.ubi.com.",,,,,,1,1,8,,1.04,DUAL,36.6
Brutal Legend,"OS:Windows 7 Processor:Intel i5 Duo at 2.5 GHz, or AMD FX 3.5 GHz Memory:2 GB RAM Graphics:512 MB GeForce 650, Radeon 7000 DirectX®:9.0c Hard Drive:8 GB HD space Sound:DirectX Compatible Sound Card Other Requirements:Broadband Internet connection",26-Feb-13,brutallegend,127,0,0,Windows 7 ,"Intel i5 Duo at 2.5 GHz, or AMD FX 3.5 GHz ",2 GB RAM ,"512 MB GeForce 650, Radeon 7000 DirectX®:9.0c Hard Drive:8 GB HD space Sound:DirectX Compatible Sound Card Other Requirements:Broadband Internet connection",,,,,2,2,8,GEFORCE 650,6.5,DUO,36.6
